"Wavelength, µm","n","k"
0.25,1.589,0.00000597
0.26,1.582,0.00000612
0.27,1.574,0.00000622
0.28,1.568,0.00000642
0.29,1.562,0.00000659
0.3,1.557,0.00000624
0.31,1.553,0.00000477
0.32,1.549,0.00000273
0.33,1.546,0.00000121
0.34,1.543,4.52e-7
0.35,1.54,1.7e-7
0.36,1.538,8.86e-8
0.37,1.536,6.94e-8
0.38,1.534,6.55e-8
0.39,1.532,5.65e-8
0.4,1.53,4.27e-8
0.41,1.529,3.54e-8
0.42,1.527,3.43e-8
0.43,1.526,3.64e-8
0.44,1.525,3.77e-8
0.45,1.524,3.7e-8
0.46,1.523,3.56e-8
0.47,1.522,3.25e-8
0.48,1.521,2.83e-8
0.49,1.52,2.58e-8
0.5,1.519,2.54e-8
0.51,1.518,2.54e-8
0.52,1.518,2.56e-8
0.53,1.517,2.53e-8
0.54,1.516,2.51e-8
0.55,1.516,2.62e-8
0.56,1.515,2.87e-8
0.57,1.515,3.35e-8
0.58,1.514,3.83e-8
0.59,1.514,4.11e-8
0.6,1.513,4.38e-8
0.61,1.513,4.82e-8
0.62,1.512,5.33e-8
0.63,1.512,5.79e-8
0.64,1.512,6.23e-8
0.65,1.511,7.03e-8
0.66,1.511,7.93e-8
0.67,1.511,8.41e-8
0.68,1.51,8.85e-8
0.69,1.51,9.58e-8
0.7,1.51,1.05e-7
0.71,1.51,1.13e-7
0.72,1.509,1.2e-7
0.73,1.509,1.3e-7
0.74,1.509,1.42e-7
0.75,1.509,1.52e-7
0.76,1.508,1.62e-7
0.77,1.508,1.74e-7
0.78,1.508,1.85e-7
0.79,1.508,1.95e-7
0.8,1.508,2.04e-7
0.81,1.508,2.15e-7
0.82,1.507,2.25e-7
0.83,1.507,2.36e-7
0.84,1.507,2.47e-7
0.85,1.507,2.57e-7
0.86,1.507,2.67e-7
0.87,1.507,2.77e-7
0.88,1.506,2.86e-7
0.89,1.506,2.94e-7
0.9,1.506,3.02e-7
0.91,1.506,3.09e-7
0.92,1.506,3.17e-7
0.93,1.506,3.23e-7
0.94,1.506,3.3e-7
0.95,1.506,3.36e-7
0.96,1.506,3.42e-7
0.97,1.505,3.47e-7
0.98,1.505,3.53e-7
0.99,1.505,3.57e-7
1,1.505,3.62e-7
1.01,1.505,3.68e-7
1.02,1.505,3.73e-7
1.03,1.505,3.78e-7
1.04,1.505,3.84e-7
1.05,1.505,3.88e-7
1.06,1.505,3.92e-7
1.07,1.505,3.97e-7
1.08,1.505,4e-7
1.09,1.504,4.03e-7
1.1,1.504,4.07e-7
1.11,1.504,4.09e-7
1.12,1.504,4.11e-7
1.13,1.504,4.13e-7
1.14,1.504,4.15e-7
1.15,1.504,4.17e-7
1.16,1.504,4.18e-7
1.17,1.504,4.19e-7
1.18,1.504,4.21e-7
1.19,1.504,4.21e-7
1.2,1.504,4.21e-7
1.21,1.504,4.21e-7
1.22,1.504,4.19e-7
1.23,1.504,4.18e-7
1.24,1.504,4.17e-7
1.25,1.504,4.15e-7
1.26,1.504,4.14e-7
1.27,1.503,4.12e-7
1.28,1.503,4.1e-7
1.29,1.503,4.08e-7
1.3,1.503,4.04e-7
1.31,1.503,4.02e-7
1.32,1.503,3.99e-7
1.33,1.503,3.96e-7
1.34,1.503,3.92e-7
1.35,1.503,3.89e-7
1.36,1.503,3.86e-7
1.37,1.503,3.83e-7
1.38,1.503,3.8e-7
1.39,1.503,3.76e-7
1.4,1.503,3.73e-7
1.41,1.503,3.69e-7
1.42,1.503,3.64e-7
1.43,1.503,3.59e-7
1.44,1.503,3.54e-7
1.45,1.503,3.48e-7
1.46,1.503,3.43e-7
1.47,1.503,3.36e-7
1.48,1.503,3.32e-7
1.49,1.503,3.27e-7
1.5,1.503,3.22e-7
1.51,1.503,3.18e-7
1.52,1.503,3.15e-7
1.53,1.503,3.12e-7
1.54,1.503,3.07e-7
1.55,1.503,3.04e-7
1.56,1.503,2.99e-7
1.57,1.503,2.94e-7
1.58,1.502,2.9e-7
1.59,1.502,2.86e-7
1.6,1.502,2.81e-7
1.61,1.502,2.77e-7
1.62,1.502,2.75e-7
1.63,1.502,2.73e-7
1.64,1.502,2.73e-7
1.65,1.502,2.75e-7
1.66,1.502,2.8e-7
1.67,1.502,2.87e-7
1.68,1.502,2.94e-7
1.69,1.502,3.03e-7
1.7,1.502,3.13e-7
